,mean
2022-10-24 00:00:00,6.664744703351115
2022-10-24 01:00:00,6.4680325348815275
2022-10-24 02:00:00,6.347044481158516
2022-10-24 03:00:00,6.435824247575432
2022-10-24 04:00:00,6.423252006643219
2022-10-24 05:00:00,6.534914442131816
2022-10-24 06:00:00,7.9238439888611305
2022-10-24 07:00:00,10.926473815492999
2022-10-24 08:00:00,9.813239689422113
2022-10-24 09:00:00,9.53549908248368
2022-10-24 10:00:00,9.44587150898918
2022-10-24 11:00:00,8.692992045032874
2022-10-24 12:00:00,8.497267691539657
2022-10-24 13:00:00,8.701130254765978
2022-10-24 14:00:00,8.549018632349652
2022-10-24 15:00:00,8.721913827880016
2022-10-24 16:00:00,8.34983466884668
2022-10-24 17:00:00,8.799497234981317
2022-10-24 18:00:00,9.10450129433728
2022-10-24 19:00:00,9.472451413318284
2022-10-24 20:00:00,9.66119740495025
2022-10-24 21:00:00,8.995318512618605
2022-10-24 22:00:00,7.579554585051747
2022-10-24 23:00:00,7.1554166209172845
2022-10-25 00:00:00,6.504787443701002
2022-10-25 01:00:00,6.642275225626324
2022-10-25 02:00:00,6.533267450792455
2022-10-25 03:00:00,6.39866043691995
2022-10-25 04:00:00,6.526387433876123
2022-10-25 05:00:00,6.734075359872261
2022-10-25 06:00:00,8.056144240621407
2022-10-25 07:00:00,10.926671799147845
2022-10-25 08:00:00,9.704146751798158
2022-10-25 09:00:00,9.043434896481982
2022-10-25 10:00:00,9.091608946389265
2022-10-25 11:00:00,9.408949575612152
2022-10-25 12:00:00,8.641264029211266
2022-10-25 13:00:00,8.883562034263152
2022-10-25 14:00:00,8.84185588364847
2022-10-25 15:00:00,8.78035668266674
2022-10-25 16:00:00,8.593462326351485
2022-10-25 17:00:00,9.28053811242334
2022-10-25 18:00:00,9.436409213328714
2022-10-25 19:00:00,9.987979573343896
2022-10-25 20:00:00,9.851282116547369
2022-10-25 21:00:00,9.445916910285048
2022-10-25 22:00:00,8.31069142450526
2022-10-25 23:00:00,7.619157891568298
2022-10-26 00:00:00,6.75402073322868
2022-10-26 01:00:00,6.621256243568322
2022-10-26 02:00:00,6.335021424699929
2022-10-26 03:00:00,6.335931137293031
2022-10-26 04:00:00,6.1757215418057445
2022-10-26 05:00:00,6.575297842877095
2022-10-26 06:00:00,7.80746234428292
2022-10-26 07:00:00,10.912419999557928
2022-10-26 08:00:00,9.893628841690647
2022-10-26 09:00:00,9.235790260974714
2022-10-26 10:00:00,8.882440253491634
2022-10-26 11:00:00,8.906060174014163
2022-10-26 12:00:00,8.761391260783366
2022-10-26 13:00:00,8.745726858421714
2022-10-26 14:00:00,8.77524083518928
