,mean,mean_se,mean_ci_lower,mean_ci_upper
2022-07-18 00:00:00,15.363206507014795,,,
2022-07-18 01:00:00,14.50426283055074,,,
2022-07-18 02:00:00,12.72172548453522,,,
2022-07-18 03:00:00,12.179317384684841,,,
2022-07-18 04:00:00,12.119406237608777,,,
2022-07-18 05:00:00,13.850333478972331,,,
2022-07-18 06:00:00,18.693544112486045,,,
2022-07-18 07:00:00,27.41025446619959,,,
2022-07-18 08:00:00,29.795982916064514,,,
2022-07-18 09:00:00,29.047332366952936,,,
2022-07-18 10:00:00,28.307115428317168,,,
2022-07-18 11:00:00,27.13955209551475,,,
2022-07-18 12:00:00,26.88349098243144,,,
2022-07-18 13:00:00,27.122938933605365,,,
2022-07-18 14:00:00,25.68115352914508,,,
2022-07-18 15:00:00,24.477440490516734,,,
2022-07-18 16:00:00,23.857847276056543,,,
2022-07-18 17:00:00,24.189396774218274,,,
2022-07-18 18:00:00,24.630463654525013,,,
2022-07-18 19:00:00,24.962004728350177,,,
2022-07-18 20:00:00,24.56108421270857,,,
2022-07-18 21:00:00,23.30396400551469,,,
2022-07-18 22:00:00,19.949149639202197,,,
2022-07-18 23:00:00,18.112095092797556,,,
2022-07-19 00:00:00,15.31320246635852,,,
2022-07-19 01:00:00,14.15131433968141,,,
2022-07-19 02:00:00,12.437780668318604,,,
2022-07-19 03:00:00,11.841374104179671,,,
2022-07-19 04:00:00,12.093336790795975,,,
2022-07-19 05:00:00,13.80908338090782,,,
2022-07-19 06:00:00,18.98233216089028,,,
2022-07-19 07:00:00,27.748039906742477,,,
2022-07-19 08:00:00,30.45375927841415,,,
2022-07-19 09:00:00,29.828906856711473,,,
2022-07-19 10:00:00,28.732054696471042,,,
2022-07-19 11:00:00,27.300703052468574,,,
2022-07-19 12:00:00,27.38410516765436,,,
2022-07-19 13:00:00,26.913203138190806,,,
2022-07-19 14:00:00,25.812139227612054,,,
2022-07-19 15:00:00,24.913701676682876,,,
2022-07-19 16:00:00,24.33850514534526,,,
2022-07-19 17:00:00,25.34878001310848,,,
2022-07-19 18:00:00,25.578977726748104,,,
2022-07-19 19:00:00,25.114135976562487,,,
2022-07-19 20:00:00,24.731110025285506,,,
2022-07-19 21:00:00,22.64139846930356,,,
2022-07-19 22:00:00,19.944234621426673,,,
2022-07-19 23:00:00,17.920185477421505,,,
2022-07-20 00:00:00,15.275124266286248,,,
2022-07-20 01:00:00,14.471701806685704,,,
2022-07-20 02:00:00,12.298332868491936,,,
