,mean
2023-02-26 00:00:00,2.150961145774783
2023-02-26 01:00:00,1.8775254503620669
2023-02-26 02:00:00,1.6942053865784645
2023-02-26 03:00:00,1.632086280434865
2023-02-26 04:00:00,1.6389826324186914
2023-02-26 05:00:00,1.698375374230126
2023-02-26 06:00:00,2.0717646743447644
2023-02-26 07:00:00,2.7622162316875403
2023-02-26 08:00:00,3.6511708400760092
2023-02-26 09:00:00,4.367696484931558
2023-02-26 10:00:00,4.495145949060572
2023-02-26 11:00:00,4.46547912529297
2023-02-26 12:00:00,4.033569027439247
2023-02-26 13:00:00,3.800494606429223
2023-02-26 14:00:00,3.420577775287832
2023-02-26 15:00:00,3.102114222948521
2023-02-26 16:00:00,3.101039900147123
2023-02-26 17:00:00,3.264572749992499
2023-02-26 18:00:00,3.5712047352155594
2023-02-26 19:00:00,3.6016724777927425
2023-02-26 20:00:00,3.670785606964913
2023-02-26 21:00:00,3.1223931120514092
2023-02-26 22:00:00,2.6639770652364807
2023-02-26 23:00:00,2.357480546655743
2023-02-27 00:00:00,1.9765802225956772
2023-02-27 01:00:00,1.7363101542576362
2023-02-27 02:00:00,1.6024767876918644
2023-02-27 03:00:00,1.5869549334698183
2023-02-27 04:00:00,1.5969555329242202
2023-02-27 05:00:00,1.7992604693484298
2023-02-27 06:00:00,2.7923292101507617
2023-02-27 07:00:00,3.810376316039485
2023-02-27 08:00:00,3.7641936008110837
2023-02-27 09:00:00,3.673308638921203
2023-02-27 10:00:00,3.5046374572546437
2023-02-27 11:00:00,3.4325732789257106
2023-02-27 12:00:00,3.3331251745092825
2023-02-27 13:00:00,3.3727482670132716
2023-02-27 14:00:00,3.113114116009221
2023-02-27 15:00:00,2.916197018282116
2023-02-27 16:00:00,2.8361725077802653
2023-02-27 17:00:00,3.019198144892394
2023-02-27 18:00:00,3.3871126179544024
2023-02-27 19:00:00,3.580162784274241
2023-02-27 20:00:00,3.5373893666474707
2023-02-27 21:00:00,3.213134279170378
2023-02-27 22:00:00,2.588183890815669
2023-02-27 23:00:00,2.247248957104423
2023-02-28 00:00:00,1.9474943307255252
2023-02-28 01:00:00,1.7058105568471587
2023-02-28 02:00:00,1.61252872452239
2023-02-28 03:00:00,1.5753225871396177
2023-02-28 04:00:00,1.5839496026516235
2023-02-28 05:00:00,1.7865286293229827
2023-02-28 06:00:00,2.8390787821047963
2023-02-28 07:00:00,3.934663664501492
2023-02-28 08:00:00,3.6560008752011752
2023-02-28 09:00:00,3.586105800204089
2023-02-28 10:00:00,3.2694023639047645
2023-02-28 11:00:00,3.1500832030328874
2023-02-28 12:00:00,3.1639232571392095
2023-02-28 13:00:00,3.240578928505957
2023-02-28 14:00:00,2.994642300688596
2023-02-28 15:00:00,2.962042903019956
2023-02-28 16:00:00,2.7861830907989273
2023-02-28 17:00:00,3.0144054015034847
2023-02-28 18:00:00,3.4192160722611207
2023-02-28 19:00:00,3.566802083064421
2023-02-28 20:00:00,3.574263675018523
2023-02-28 21:00:00,3.185087892880275
2023-02-28 22:00:00,2.5147415066183765
2023-02-28 23:00:00,2.2750196592584664
2023-03-01 00:00:00,1.9513688489075838
2023-03-01 01:00:00,1.728576157564092
